Date,Account,Category,Subcategory,Note,INR,Income/Expense,Note.1,Amount,Currency,Necessity,Label_Source
2/16/2022 16:57,CUB - online payment,Food,,Side dishes,165.0,Expense,,165.0,INR,Not-essential,Manual
2/16/2022 16:57,CUB - online payment,Food,,Kfc ,475.0,Expense,,475.0,INR,Not-essential,Manual
2/13/2022 21:54,CUB - online payment,Social Life,,Games ,100.0,Expense,,100.0,INR,Not-essential,Manual
02-12-2022,CUB - online payment,Food,,Dinner with aravind and buddies,491.0,Expense,,491.0,INR,Not-essential,Manual
02-12-2022,CUB - online payment,Household,,Mirror,70.0,Expense,,70.0,INR,Necessary,Manual
02-12-2022,CUB - online payment,Food,,Lunch,80.0,Expense,,80.0,INR,Necessary,Manual
02-11-2022,CUB - online payment,Food,,Dinner with aravind,373.0,Expense,,373.0,INR,Not-essential,Manual
02-10-2022,CUB - online payment,Food,,Kfc dinner,641.0,Expense,,641.0,INR,Not-essential,Manual
02-07-2022,CUB - online payment,Transportation,,Auto to Gobi's place,214.0,Expense,,214.0,INR,Necessary,Manual
02-06-2022,CUB - online payment,Food,,Cakepark,125.0,Expense,,125.0,INR,Not-essential,Manual
02-06-2022,CUB - online payment,Food,,To kumara,150.0,Expense,,150.0,INR,Necessary,Manual
02-06-2022,CUB - online payment,Transportation,,To chennai,1000.0,Expense,,1000.0,INR,Necessary,Manual
02-04-2022,CUB - online payment,Food,,Shawarma,80.0,Expense,,80.0,INR,Not-essential,Manual
02-02-2022,CUB - online payment,Food,,Parotta,120.0,Expense,,120.0,INR,Not-essential,Manual
1/31/2022 8:44,CUB - online payment,Transportation,,Vnr to apk,50.0,Expense,,50.0,INR,Necessary,Manual
1/31/2022 8:26,CUB - online payment,Transportation,,To ksr station,153.0,Expense,,153.0,INR,Necessary,Manual
1/30/2022 19:17,CUB - online payment,Food,,Dinner,155.0,Expense,,155.0,INR,Necessary,Manual
1/30/2022 19:01,CUB - online payment,Food,,Cycle gap ,120.0,Expense,,120.0,INR,Necessary,Manual
1/30/2022 12:28,CUB - online payment,Food,,Brunch,105.0,Expense,,105.0,INR,Necessary,Manual
1/29/2022 21:56,CUB - online payment,Transportation,,Rapido to pg,44.0,Expense,,44.0,INR,Necessary,Manual
1/28/2022 21:58,CUB - online payment,Food,,Banana,10.0,Expense,,10.0,INR,Necessary,Manual
1/28/2022 14:23,CUB - online payment,Food,,Lunch with company,138.0,Expense,,138.0,INR,Necessary,Manual
1/27/2022 21:25,CUB - online payment,Transportation,,Rapido to pg,43.0,Expense,,43.0,INR,Necessary,Manual
1/27/2022 13:39,CUB - online payment,Food,,Zinger box meal,279.0,Expense,,279.0,INR,Not-essential,Manual
1/26/2022 17:45,CUB - online payment,Food,,Snacks,115.0,Expense,,115.0,INR,Not-essential,Manual
1/26/2022 16:52,CUB - online payment,Food,,Paani poori,25.0,Expense,,25.0,INR,Not-essential,Manual
1/25/2022 13:35,CUB - online payment,Food,,Kfc date with myself,259.0,Expense,,259.0,INR,Not-essential,Manual
1/25/2022 9:20,CUB - online payment,Transportation,,Train to vnr,325.0,Expense,,325.0,INR,Necessary,Manual
1/24/2022 20:17,CUB - online payment,Food,,Snack,40.0,Expense,,40.0,INR,Not-essential,Manual
1/24/2022 14:08,CUB - online payment,Food,,Lunch with company,133.0,Expense,,133.0,INR,Necessary,Manual
1/23/2022 21:45,CUB - online payment,Food,,Pepsi,40.0,Expense,,40.0,INR,Not-essential,Manual
1/23/2022 21:41,CUB - online payment,Food,,Dinner,465.0,Expense,,465.0,INR,Necessary,Manual
1/23/2022 21:29,CUB - online payment,Food,,Lunch,302.0,Expense,,302.0,INR,Necessary,Manual
1/23/2022 21:27,CUB - online payment,Food,,Snacks with preethi and azar,176.0,Expense,,176.0,INR,Not-essential,Manual
1/23/2022 21:27,CUB - online payment,Social Life,,Badminton,200.0,Expense,,200.0,INR,Not-essential,Manual
1/21/2022 14:22,CUB - online payment,Food,,Lunch with company,188.0,Expense,,188.0,INR,Necessary,Manual
1/21/2022 11:47,CUB - online payment,Food,,Snacks,37.0,Expense,,37.0,INR,Not-essential,Manual
1/19/2022 14:27,CUB - online payment,Food,,Lunch + chocolate for preethi,171.0,Expense,,171.0,INR,Not-essential,Manual
1/18/2022 20:54,CUB - online payment,Food,,Dinner,301.15,Expense,,301.15,INR,Necessary,Manual
1/18/2022 17:10,CUB - online payment,Food,,Snack with preethi,59.0,Expense,,59.0,INR,Not-essential,Manual
1/18/2022 13:51,CUB - online payment,Food,,Lunch with company,148.0,Expense,,148.0,INR,Necessary,Manual
1/17/2022 18:31,CUB - online payment,Food,,Eve snack,100.0,Expense,,100.0,INR,Not-essential,Manual
1/15/2022 21:17,CUB - online payment,Transportation,,Bus to Bangalore,1365.0,Expense,,1365.0,INR,Necessary,Manual
1/15/2022 21:16,CUB - online payment,Food,,Snacks,70.0,Expense,,70.0,INR,Not-essential,Manual
1/14/2022 16:54,CUB - online payment,Food,,Lunch pongal,1530.0,Expense,,1530.0,INR,Not-essential,Manual
1/13/2022 20:46,CUB - online payment,Food,,Dinner,66.0,Expense,,66.0,INR,Necessary,Manual
1/13/2022 17:47,CUB - online payment,Transportation,,Rapido to pg,43.0,Expense,,43.0,INR,Necessary,Manual
01-12-2022,CUB - online payment,Other,,Recharge by gowdham,479.0,Expense,,479.0,INR,Necessary,Manual
01-12-2022,CUB - online payment,Food,,Pizza,301.75,Expense,,301.75,INR,Not-essential,Manual
01-11-2022,CUB - online payment,Food,,Lunch with not preethi,135.5,Expense,,135.5,INR,Necessary,Manual
01-10-2022,CUB - online payment,Food,,Friday snacks with preethi gang,106.0,Expense,,106.0,INR,Not-essential,Manual
01-08-2022,CUB - online payment,Food,,Lunch with gowdham,535.3,Expense,,535.3,INR,Not-essential,Manual
01-08-2022,CUB - online payment,Household,,Rent,4580.0,Expense,,4580.0,INR,Necessary,Manual
01-06-2022,CUB - online payment,Food,,Ketch up,20.0,Expense,,20.0,INR,Necessary,Manual
01-06-2022,CUB - online payment,Food,,Dinner with roommate,877.81,Expense,,877.81,INR,Not-essential,Manual
01-06-2022,CUB - online payment,Transportation,,Rapido to pg,42.0,Expense,,42.0,INR,Necessary,Manual
01-05-2022,CUB - online payment,Food,,McDonald's with company,211.0,Expense,,211.0,INR,Necessary,Manual
01-05-2022,CUB - online payment,Other,,Lended money returned to vishnu,40.0,Expense,,40.0,INR,Necessary,Manual
01-05-2022,CUB - online payment,Other,,Lended money returned to kumara,30.0,Expense,,30.0,INR,Necessary,Manual
01-05-2022,CUB - online payment,Food,,Jan 2nd with shakur and barath,354.0,Expense,,354.0,INR,Not-essential,Manual
01-05-2022,CUB - online payment,Other,,To gobi 1st 1/4th,500.0,Expense,,500.0,INR,Necessary,Manual
01-05-2022,CUB - online payment,Other,,To abijith and to vicky lend money returned,500.0,Expense,,500.0,INR,Necessary,Manual
01-05-2022,CUB - online payment,Transportation,,Refund for bus ticket,60.0,Expense,,60.0,INR,Necessary,Manual
01-05-2022,CUB - online payment,Food,,Lunch with company,388.0,Expense,,388.0,INR,Necessary,Manual
01-04-2022,CUB - online payment,Education,,Arrear and reval fee,1400.0,Expense,,1400.0,INR,Necessary,Manual
01-04-2022,CUB - online payment,Food,,Lunch with company,106.0,Expense,,106.0,INR,Necessary,Manual
01-04-2022,CUB - online payment,Other,,To vicky,80.0,Expense,,80.0,INR,Necessary,Manual
01-03-2022,CUB - online payment,Food,,Lunch unlimited nv,300.0,Expense,,300.0,INR,Not-essential,Manual
01-02-2022,CUB - online payment,Other,,Tablet to gowdham,8.0,Expense,,8.0,INR,Necessary,Manual
01-02-2022,CUB - online payment,Food,,Dinner with barath,200.0,Expense,,200.0,INR,Not-essential,Manual
01-02-2022,CUB - online payment,Transportation,,Train to vnr,725.0,Expense,,725.0,INR,Necessary,Manual
01-01-2022,CUB - online payment,Food,,Snacks,85.0,Expense,,85.0,INR,Not-essential,Manual
12/30/2021 13:56,CUB - online payment,Transportation,,Pg to office,43.0,Expense,,43.0,INR,Necessary,Manual
12/30/2021 12:43,CUB - online payment,Food,,Horlicks + kolakattai,25.0,Expense,,25.0,INR,Necessary,Manual
12/30/2021 12:38,CUB - online payment,Transportation,,Bommasandra to pg,199.0,Expense,,199.0,INR,Necessary,Manual
12/30/2021 11:45,CUB - online payment,Food,,Water,20.0,Expense,,20.0,INR,Necessary,Manual
12/30/2021 11:45,CUB - online payment,Transportation,,Rapido + toll,286.0,Expense,,286.0,INR,Necessary,Manual
12/28/2021 13:42,CUB - online payment,Food,,Coffee and thattai,14.0,Expense,,14.0,INR,Necessary,Manual
12/27/2021 13:45,CUB - online payment,Food,,Lunch with barath,115.0,Expense,,115.0,INR,Necessary,Manual
12/27/2021 12:33,CUB - online payment,Food,,Coconut water with stu,50.0,Expense,,50.0,INR,Necessary,Manual
12/25/2021 22:53,CUB - online payment,Food,,Dinner with barath,504.0,Expense,,504.0,INR,Not-essential,Manual
12/25/2021 20:46,CUB - online payment,Transportation,,Cab,306.0,Expense,,306.0,INR,Necessary,Manual
12/25/2021 19:50,CUB - online payment,Self-development,,Books,400.0,Expense,,400.0,INR,Necessary,Manual
12/25/2021 17:01,CUB - online payment,Food,,Corn,30.0,Expense,,30.0,INR,Necessary,Manual
12/25/2021 15:35,CUB - online payment,Food,,Water,30.0,Expense,,30.0,INR,Necessary,Manual
12/25/2021 13:32,CUB - online payment,Food,,Milk with bharath,40.0,Expense,,40.0,INR,Necessary,Manual
12/24/2021 21:49,CUB - online payment,Social Life,,Beer,150.0,Expense,,150.0,INR,Not-essential,Manual
12/24/2021 14:35,CUB - online payment,Food,,Lunch with company,262.0,Expense,,262.0,INR,Necessary,Manual
12/23/2021 16:31,CUB - online payment,Food,,Lemon tea with company,15.0,Expense,,15.0,INR,Necessary,Manual
12/21/2021 20:53,CUB - online payment,Food,,Dinner with barath,239.0,Expense,,239.0,INR,Not-essential,Manual
12/21/2021 14:02,CUB - online payment,Food,,Puffs,25.0,Expense,,25.0,INR,Necessary,Manual
12/21/2021 11:43,CUB - online payment,Food,,Bun,18.0,Expense,,18.0,INR,Necessary,Manual
12/20/2021 19:23,CUB - online payment,Food,,Milk with bharath,80.0,Expense,,80.0,INR,Necessary,Manual
12/20/2021 19:22,CUB - online payment,Transportation,,Taxi,80.0,Expense,,80.0,INR,Necessary,Manual
12/20/2021 16:55,CUB - online payment,Food,,Snacks,20.0,Expense,,20.0,INR,Not-essential,Manual
12/20/2021 15:29,CUB - online payment,Food,,Water,20.0,Expense,,20.0,INR,Necessary,Manual
12/20/2021 13:35,CUB - online payment,Food,,Lunch with barath,85.0,Expense,,85.0,INR,Necessary,Manual
12/20/2021 9:46,CUB - online payment,Food,,Milk with bharath,40.0,Expense,,40.0,INR,Necessary,Manual
12/18/2021 19:51,CUB - online payment,Social Life,,Spiderman ,363.72,Expense,,363.72,INR,Not-essential,Manual
12/18/2021 14:19,CUB - online payment,Food,,Lunch,160.0,Expense,,160.0,INR,Necessary,Manual
12/17/2021 18:54,CUB - online payment,Food,,Milk with bharath,70.0,Expense,,70.0,INR,Necessary,Manual
12/17/2021 14:45,CUB - online payment,Food,,Lunch with company,110.0,Expense,,110.0,INR,Necessary,Manual
12/17/2021 8:35,CUB - online payment,Other,,Gave to gowdham,50.0,Expense,,50.0,INR,Necessary,Manual
12/16/2021 18:44,CUB - online payment,Food,,Egg,30.0,Expense,,30.0,INR,Necessary,Manual
12/16/2021 18:35,CUB - online payment,Food,,Panipoori,20.0,Expense,,20.0,INR,Not-essential,Manual
12/16/2021 13:38,CUB - online payment,Food,,Lunch,30.0,Expense,,30.0,INR,Necessary,Manual
12/16/2021 10:42,CUB - online payment,Food,,Milk with bharath,110.0,Expense,,110.0,INR,Necessary,Manual
12/14/2021 23:54,CUB - online payment,Food,,Lunch,40.0,Expense,,40.0,INR,Necessary,Manual
12/14/2021 21:21,CUB - online payment,Food,,Snacks,75.0,Expense,,75.0,INR,Not-essential,Manual
12/14/2021 21:03,CUB - online payment,Food,,Panipoori,80.0,Expense,,80.0,INR,Not-essential,Manual
12/14/2021 15:18,CUB - online payment,Food,,Snacks,74.0,Expense,,74.0,INR,Not-essential,Manual
12/14/2021 10:33,CUB - online payment,Food,,Milk with bharath,65.0,Expense,,65.0,INR,Necessary,Manual
12-12-2021,CUB - online payment,Food,,Milk with bharath,25.0,Expense,,25.0,INR,Necessary,Manual
12-10-2021,CUB - online payment,Food,,Momos,195.0,Expense,,195.0,INR,Not-essential,Manual
12-09-2021,CUB - online payment,Food,,Snack with bharath,40.0,Expense,,40.0,INR,Not-essential,Manual
12-09-2021,CUB - online payment,Food,,Lunch with company,280.0,Expense,,280.0,INR,Necessary,Manual
12-09-2021,CUB - online payment,Food,,Milk with bharath,25.0,Expense,,25.0,INR,Necessary,Manual
12-09-2021,CUB - online payment,Food,,Breakfast with stu,110.0,Expense,,110.0,INR,Necessary,Manual
12-08-2021,CUB - online payment,Food,,Lunch with stu,100.0,Expense,,100.0,INR,Necessary,Manual
12-08-2021,Cash,Food,,5 star,1120.72,Expense,,1120.72,INR,Not-essential,Manual
12-08-2021,CUB - online payment,Food,,Milk,10.0,Expense,,10.0,INR,Necessary,Manual
12-07-2021,CUB - online payment,Food,,Milk with bharath,25.0,Expense,,25.0,INR,Necessary,Manual
12-07-2021,CUB - online payment,Food,,Horlicks,15.0,Expense,,15.0,INR,Necessary,Manual
12-06-2021,CUB - online payment,Food,,Milk with bharath,25.0,Expense,,25.0,INR,Necessary,Manual
12-06-2021,CUB - online payment,Apparel,,Cap,140.0,Expense,,140.0,INR,Necessary,Manual
12-06-2021,CUB - online payment,Food,,Lunch with stu,150.0,Expense,,150.0,INR,Necessary,Manual
12-05-2021,CUB - online payment,Food,,Milk with bharath,25.0,Expense,,25.0,INR,Necessary,Manual
12-05-2021,CUB - online payment,Household,,Rent,4800.0,Expense,,4800.0,INR,Necessary,Manual
12-04-2021,CUB - online payment,Food,,Dinner,324.0,Expense,,324.0,INR,Necessary,Manual
12-04-2021,CUB - online payment,Food,,Snack,65.0,Expense,,65.0,INR,Not-essential,Manual
12-04-2021,CUB - online payment,Other,,For company,30.0,Expense,,30.0,INR,Necessary,Manual
12-04-2021,CUB - online payment,Food,,Breakfast,200.0,Expense,,200.0,INR,Necessary,Manual
12-03-2021,CUB - online payment,Food,,Milk with bharath,25.0,Expense,,25.0,INR,Necessary,Manual
12-03-2021,CUB - online payment,Apparel,,Mask,20.0,Expense,,20.0,INR,Necessary,Manual
12-03-2021,CUB - online payment,Food,,Snack,40.0,Expense,,40.0,INR,Not-essential,Manual
12-02-2021,CUB - online payment,Food,,Ice cream,504.0,Expense,,504.0,INR,Not-essential,Manual
12-02-2021,CUB - online payment,Food,,Vadapaav,75.0,Expense,,75.0,INR,Not-essential,Manual
12-01-2021,CUB - online payment,Beauty,,Showergel,196.0,Expense,,196.0,INR,Not-essential,Manual
12-01-2021,CUB - online payment,Food,,Lunch with company,160.0,Expense,,160.0,INR,Necessary,Manual
11/30/2021 14:24,CUB - online payment,Gift,,Bharath birthday,115.0,Expense,,115.0,INR,Necessary,Manual
11/30/2021 14:17,CUB - online payment,Food,,Lunch with company,128.0,Expense,,128.0,INR,Necessary,Manual
11/30/2021 10:11,CUB - online payment,Food,,Breakfast,70.0,Expense,,70.0,INR,Necessary,Manual
11/29/2021 20:47,CUB - online payment,Food,,Lunch with company,40.0,Expense,,40.0,INR,Necessary,Manual
11/29/2021 20:47,CUB - online payment,Food,,Dinner,50.0,Expense,,50.0,INR,Necessary,Manual
11/29/2021 20:09,CUB - online payment,Food,,Panipoori,40.0,Expense,,40.0,INR,Not-essential,Manual
11/29/2021 9:29,CUB - online payment,Food,,Breakfast,40.0,Expense,,40.0,INR,Necessary,Manual
11/28/2021 19:59,CUB - online payment,Food,,Snack,94.0,Expense,,94.0,INR,Not-essential,Manual
11/28/2021 13:10,CUB - online payment,Food,,Zomato,269.4,Expense,,269.4,INR,Not-essential,Manual
11/27/2021 23:14,CUB - online payment,Food,,Dinner with gowdham,120.0,Expense,,120.0,INR,Necessary,Manual
11/27/2021 22:34,CUB - online payment,Food,,Dinner with gowdham,130.0,Expense,,130.0,INR,Necessary,Manual
11/27/2021 18:41,CUB - online payment,Transportation,,Rapido,35.0,Expense,,35.0,INR,Necessary,Manual
11/27/2021 13:46,CUB - online payment,Food,,Lunch with company,75.0,Expense,,75.0,INR,Necessary,Manual
11/27/2021 9:33,CUB - online payment,Food,,Breakfast,30.0,Expense,,30.0,INR,Necessary,Manual
11/26/2021 21:56,CUB - online payment,Food,,Beer,150.0,Expense,,150.0,INR,Not-essential,Manual
11/26/2021 20:57,CUB - online payment,Food,,Snack,102.0,Expense,,102.0,INR,Not-essential,Manual
11/26/2021 20:15,CUB - online payment,Food,,Panipoori,40.0,Expense,,40.0,INR,Not-essential,Manual
11/26/2021 14:14,CUB - online payment,Petty cash,,Cashback,3.0,Income,,3.0,INR,Necessary,Manual
11/26/2021 14:14,CUB - online payment,Food,,Lunch with company,150.0,Expense,,150.0,INR,Necessary,Manual
11/26/2021 9:22,CUB - online payment,Food,,Breakfast,60.0,Expense,,60.0,INR,Necessary,Manual
11/25/2021 20:27,CUB - online payment,Food,,Lunch with company,145.0,Expense,,145.0,INR,Necessary,Manual
11/25/2021 20:27,CUB - online payment,Transportation,,Rapido,58.0,Expense,,58.0,INR,Necessary,Manual
11/25/2021 20:27,CUB - online payment,Food,,Dinner,95.0,Expense,,95.0,INR,Necessary,Manual
11/24/2021 19:26,CUB - online payment,Food,,Snack,15.0,Expense,,15.0,INR,Not-essential,Manual
11/24/2021 19:23,CUB - online payment,Food,,Dinner,70.0,Expense,,70.0,INR,Necessary,Manual
11/24/2021 19:06,CUB - online payment,Food,,Panipoori,20.0,Expense,,20.0,INR,Not-essential,Manual
11/24/2021 19:06,CUB - online payment,Transportation,,Rapido,58.0,Expense,,58.0,INR,Necessary,Manual
11/23/2021 22:53,CUB - online payment,Transportation,,Rapido,50.0,Expense,,50.0,INR,Necessary,Manual
11/23/2021 22:53,CUB - online payment,Food,,Dinner,179.0,Expense,,179.0,INR,Necessary,Manual
11/22/2021 14:16,CUB - online payment,Food,,Dinner,90.0,Expense,,90.0,INR,Necessary,Manual
11/22/2021 14:16,CUB - online payment,Food,,Lunch with company,97.0,Expense,,97.0,INR,Necessary,Manual
11/21/2021 17:07,CUB - online payment,Transportation,,Rapido,130.0,Expense,,130.0,INR,Necessary,Manual
11/21/2021 15:50,CUB - online payment,Food,,Lunch,875.0,Expense,,875.0,INR,Necessary,Manual
