id,Date,description,Amount,type,category
124,01-07-2022,Coffee + biscuit,15.0,Expense,Food
126,01-06-2022,Ketch up,20.0,Expense,Food
127,01-06-2022,Dinner with roommate,877.81,Expense,Food
128,01-06-2022,Bingo,10.0,Expense,Food
129,01-06-2022,Rapido to pg,42.0,Expense,Transportation
130,01-05-2022,McDonald's with company,211.0,Expense,Food
131,01-05-2022,Lended money returned to vishnu,40.0,Expense,Other
132,01-05-2022,Lended money returned to kumara,30.0,Expense,Other
133,01-05-2022,Jan 2nd with shakur and barath,354.0,Expense,Food
134,01-05-2022,To gobi 1st 1/4th,500.0,Expense,Other
135,01-05-2022,To abijith and to vicky lend money returned,500.0,Expense,Other
136,01-05-2022,Refund for bus ticket,60.0,Expense,Transportation
137,01-05-2022,Lunch with company,388.0,Expense,Food
138,01-04-2022,Arrear and reval fee,1400.0,Expense,Education
140,01-04-2022,Lunch with company,106.0,Expense,Food
141,01-04-2022,To vicky,80.0,Expense,Other
142,01-04-2022,Sent to preethi,107.0,Expense,Food
143,01-03-2022,Dairy milk,10.0,Expense,Food
147,01-03-2022,Lunch unlimited nv,300.0,Expense,Food
149,01-02-2022,Tablet to gowdham,8.0,Expense,Other
150,01-02-2022,Dinner with barath,200.0,Expense,Food
151,01-02-2022,Train to vnr,725.0,Expense,Transportation
152,01-01-2022,Snacks,85.0,Expense,Food
154,12/30/2021 14:10,To barath,20.0,Expense,Food
155,12/30/2021 13:56,Pg to office,43.0,Expense,Transportation
157,12/30/2021 12:43,Horlicks + kolakattai,25.0,Expense,Food
158,12/30/2021 12:38,Bommasandra to pg,199.0,Expense,Transportation
160,12/30/2021 11:45,Water,20.0,Expense,Food
162,12/30/2021 11:45,Rapido + toll,286.0,Expense,Transportation
164,12/28/2021 13:42,Coffee and thattai,14.0,Expense,Food
165,12/27/2021 13:45,Lunch with barath,115.0,Expense,Food
168,12/27/2021 12:33,Coconut water with stu,50.0,Expense,Food
169,12/25/2021 22:53,Dinner with barath,504.0,Expense,Food
170,12/25/2021 20:46,Cab,306.0,Expense,Transportation
171,12/25/2021 19:50,Books,400.0,Expense,Self-development
172,12/25/2021 17:01,Corn,30.0,Expense,Food
173,12/25/2021 15:35,Water,30.0,Expense,Food
174,12/25/2021 13:32,Milk with bharath,40.0,Expense,Food
175,12/24/2021 21:49,Beer,150.0,Expense,Social Life
176,12/24/2021 14:35,Lunch with company,262.0,Expense,Food
177,12/23/2021 16:31,Lemon tea with company,15.0,Expense,Food
178,12/23/2021 13:51,Puffs and coffee,32.0,Expense,Food
179,12/21/2021 20:53,Dinner with barath,239.0,Expense,Food
180,12/21/2021 14:02,Puffs,25.0,Expense,Food
181,12/21/2021 11:43,Bun,18.0,Expense,Food
182,12/20/2021 19:23,Milk with bharath,80.0,Expense,Food
183,12/20/2021 19:22,Taxi,80.0,Expense,Transportation
184,12/20/2021 16:55,Snacks,20.0,Expense,Food
185,12/20/2021 15:29,Water,20.0,Expense,Food
186,12/20/2021 13:35,Lunch with barath,85.0,Expense,Food
187,12/20/2021 9:46,Milk with bharath,40.0,Expense,Food
188,12/19/2021 15:51,To siva,100.0,Expense,Other
189,12/18/2021 21:01,To kumara,100.0,Expense,Other
190,12/18/2021 21:01,To abijith,200.0,Expense,Other
191,12/18/2021 21:00,To rahul,113.0,Expense,Food
194,12/18/2021 19:51,Spiderman,363.72,Expense,Social Life
195,12/18/2021 14:19,Lunch,160.0,Expense,Food
196,12/17/2021 18:54,Milk with bharath,70.0,Expense,Food
197,12/17/2021 14:45,Lunch with company,110.0,Expense,Food
198,12/17/2021 8:35,Gave to gowdham,50.0,Expense,Other
199,12/16/2021 18:44,Egg,30.0,Expense,Food
200,12/16/2021 18:35,Panipoori,20.0,Expense,Food
201,12/16/2021 13:38,Lunch,30.0,Expense,Food
202,12/16/2021 10:42,Milk with bharath,110.0,Expense,Food
203,12/14/2021 23:54,Lunch,40.0,Expense,Food
204,12/14/2021 21:21,Snacks,75.0,Expense,Food
205,12/14/2021 21:03,Panipoori,80.0,Expense,Food
206,12/14/2021 15:18,Snacks,74.0,Expense,Food
207,12/14/2021 10:33,Milk with bharath,65.0,Expense,Food
208,12-12-2021,Milk with bharath,25.0,Expense,Food
211,12-10-2021,Shopping,241.0,Expense,Food
212,12-10-2021,Momos,195.0,Expense,Food
213,12-09-2021,Snack with bharath,40.0,Expense,Food
214,12-09-2021,Lunch with company,280.0,Expense,Food
215,12-09-2021,Milk with bharath,25.0,Expense,Food
216,12-09-2021,Breakfast with stu,110.0,Expense,Food
217,12-08-2021,Lunch with stu,100.0,Expense,Food
218,12-08-2021,5 star,1120.72,Expense,Food
219,12-08-2021,Milk,10.0,Expense,Food
220,12-07-2021,Milk with bharath,25.0,Expense,Food
221,12-07-2021,Horlicks,15.0,Expense,Food
222,12-06-2021,Milk with bharath,25.0,Expense,Food
223,12-06-2021,Shoe,500.0,Expense,Apparel
224,12-06-2021,Cap,140.0,Expense,Apparel
225,12-06-2021,Lunch with stu,150.0,Expense,Food
226,12-05-2021,Milk with bharath,25.0,Expense,Food
227,12-05-2021,Full hand and a hoodie,1800.0,Expense,Apparel
228,12-05-2021,Rent,4800.0,Expense,Household
230,12-04-2021,Dinner,324.0,Expense,Food
231,12-04-2021,Snack,65.0,Expense,Food
232,12-04-2021,For company,30.0,Expense,Other
233,12-04-2021,Breakfast,200.0,Expense,Food
234,12-03-2021,Milk with bharath,25.0,Expense,Food
235,12-03-2021,Belt,130.0,Expense,Apparel
236,12-03-2021,Mask,20.0,Expense,Apparel
237,12-03-2021,Snack,40.0,Expense,Food
239,12-02-2021,Ice cream,504.0,Expense,Food
240,12-02-2021,Vadapaav,75.0,Expense,Food
241,12-01-2021,Showergel,196.0,Expense,Beauty
242,12-01-2021,Lunch with company,160.0,Expense,Food
243,11/30/2021 14:24,Bharath birthday,115.0,Expense,Gift
244,11/30/2021 14:17,Lunch with company,128.0,Expense,Food
245,11/30/2021 10:11,Breakfast,70.0,Expense,Food
246,11/29/2021 20:47,Lunch with company,40.0,Expense,Food
247,11/29/2021 20:47,Dinner,50.0,Expense,Food
248,11/29/2021 20:09,Panipoori,40.0,Expense,Food
249,11/29/2021 9:29,Breakfast,40.0,Expense,Food
250,11/28/2021 19:59,Snack,94.0,Expense,Food
251,11/28/2021 13:10,Zomato,269.4,Expense,Food
252,11/27/2021 23:14,Dinner with gowdham,120.0,Expense,Food
253,11/27/2021 22:34,Dinner with gowdham,130.0,Expense,Food
254,11/27/2021 18:41,Rapido,35.0,Expense,Transportation
255,11/27/2021 13:46,Lunch with company,75.0,Expense,Food
257,11/27/2021 9:33,Breakfast,30.0,Expense,Food
258,11/26/2021 21:56,Beer,150.0,Expense,Food
259,11/26/2021 20:57,Snack,102.0,Expense,Food
260,11/26/2021 20:15,Panipoori,40.0,Expense,Food
262,11/26/2021 14:14,Lunch with company,150.0,Expense,Food
263,11/26/2021 9:22,Breakfast,60.0,Expense,Food
264,11/25/2021 20:27,Lunch with company,145.0,Expense,Food
265,11/25/2021 20:27,Rapido,58.0,Expense,Transportation
266,11/25/2021 20:27,Dinner,95.0,Expense,Food
267,11/24/2021 19:26,Snack,15.0,Expense,Food
268,11/24/2021 19:23,Dinner,70.0,Expense,Food
269,11/24/2021 19:06,Panipoori,20.0,Expense,Food
270,11/24/2021 19:06,Rapido,58.0,Expense,Transportation
271,11/23/2021 22:53,Rapido,50.0,Expense,Transportation
272,11/23/2021 22:53,Dinner,179.0,Expense,Food
273,11/22/2021 14:16,Dinner,90.0,Expense,Food
274,11/22/2021 14:16,Lunch with company,97.0,Expense,Food
275,11/21/2021 17:07,Rapido,130.0,Expense,Transportation
276,11/21/2021 15:50,Lunch,875.0,Expense,Food
